No,Latitude,Longitude,Country,State,City
149,53.3173,6.647,,,
150,59.2422,22.4284,,,
151,52.9462,16.8412,,,
152,65.8996,22.0514,,,
153,52.0869,-2.0676,,,
154,46.9394,16.475,,,
155,51.5356,16.8947,,,
156,52.026,5.2218,,,
157,65.9259,22.4546,,,
158,53.0386,12.7518,,,
159,47.0681,0.853,,,
160,37.8435,-0.967,,,
161,52.0323,5.6778,,,
162,40.2455,16.0508,,,
163,48.0256,15.8709,,,
164,52.3464,6.6851,,,
165,53.2711,8.8646,,,
166,53.0233,3.9016,,,
167,53.7333,14.2895,,,
168,51.5932,4.3817,,,
169,64.6917,13.2756,,,
170,45.8479,8.6687,,,
171,44.3037,10.9552,,,
172,55.8727,14.7878,,,
173,56.8447,19.0845,,,
174,46.6049,15.3751,,,
175,47.5405,17.0267,,,
176,51.1041,3.1263,,,
177,50.9671,4.129,,,
178,52.6412,10.0202,,,
179,47.3447,9.4317,,,
180,46.4753,10.3691,,,
181,41.9303,10.3553,,,
182,67.7597,16.2677,,,
183,36.6855,9.1354,,,
184,49.5723,3.7535,,,
185,48.258,13.8644,,,
186,42.698,2.3326,,,
187,48.4715,13.6864,,,
188,46.7323,16.7991,,,
189,55.5184,1.2297,,,
190,36.7712,-7.8244,,,
191,37.2119,17.5618,,,
192,51.2222,5.9671,,,
193,49.5557,5.6396,,,
194,48.4616,11.6022,,,
195,47.4691,14.6079,,,
196,56.1562,-5.1619,,,
197,36.6138,16.7525,,,
198,57.3748,-7.7051,,,
199,55.7728,-3.0596,,,
200,40.8227,-0.7235,,,
201,53.3862,14.2561,,,
202,53.113,5.6151,,,
203,51.7338,-3.7438,,,
204,48.8125,14.9986,,,
205,41.2553,2.3892,,,
206,57.8486,-5.5258,,,
207,55.9873,14.5541,,,
208,50.7321,19.529,,,
209,43.7242,10.4449,,,
210,47.5883,7.2373,,,
211,50.8118,0.1707,,,
212,53.485,7.1219,,,
213,48.0249,14.4153,,,
214,40.4468,-1.1299,,,
215,49.0509,17.9213,,,
216,60.7448,21.4843,,,
217,50.7571,2.8707,,,
218,51.4292,5.5371,,,
219,52.2231,23.5704,,,
220,58.016,11.3082,,,
221,50.3656,4.423,,,
222,47.5372,15.8378,,,
223,50.0611,9.005,,,
224,47.4265,16.8406,,,
225,66.2016,19.4748,,,
226,52.1481,3.7147,,,
227,50.8002,5.3939,,,
228,53.9838,-3.6997,,,
229,50.4601,3.0383,,,
230,47.0263,10.5002,,,
231,42.6498,-4.3065,,,
232,50.0357,5.8199,,,
233,41.0579,16.5642,,,
234,55.3494,11.7097,,,
235,37.9117,6.9175,,,
236,61.4425,19.4071,,,
237,38.3818,-3.8922,,,
238,51.1336,3.7824,,,
